ClientID,GPA,FamilyIncome_k,IELTS,ProgramInterest,ScholarshipPreference,CostSensitivity,RecommendedDestination
1,3.4,46.5,5.8,STEM,Medium,Medium,Other
2,3.14,45.9,6.2,STEM,Medium,Low,Other
3,3.46,19.1,5.9,Arts,High,High,France
4,3.81,48.4,6.6,Business,Low,High,Australia
5,3.11,69.7,7.7,Arts,High,Medium,Australia
6,3.11,29.5,5.7,STEM,Low,Medium,Other
7,3.83,76.0,7.5,STEM,Medium,High,UK
8,3.51,64.8,5.7,STEM,Medium,Low,Other
9,3.01,40.3,5.7,STEM,Medium,High,Poland
10,3.42,52.2,7.3,Arts,Medium,Low,Australia
11,3.01,87.0,7.4,STEM,Medium,High,Germany
12,3.01,69.7,7.4,STEM,Medium,High,Canada
13,3.3,55.2,5.2,STEM,High,High,Poland
14,2.43,50.2,6.0,STEM,Low,High,Germany
15,2.51,56.5,7.3,Arts,Low,Medium,Canada
16,2.98,44.8,6.5,Business,Medium,Medium,Australia
17,2.79,12.9,5.4,Arts,Medium,Medium,Other
18,3.33,95.8,7.0,Business,Medium,Medium,Other
19,2.84,58.1,5.8,STEM,Medium,High,Germany
20,2.64,63.0,8.3,STEM,High,High,Australia
21,3.79,53.8,8.0,Arts,Medium,Low,Australia
22,3.11,40.3,7.1,Arts,Low,Low,Australia
23,3.23,51.3,7.9,STEM,High,High,Canada
24,2.63,23.0,6.6,STEM,Medium,Medium,Other
25,2.98,100.5,7.3,STEM,Low,Medium,Other
26,3.24,30.3,8.0,STEM,Medium,High,Poland
27,2.74,34.4,6.7,STEM,High,Medium,France
28,3.35,46.2,6.2,STEM,Low,Medium,Other
29,2.96,80.8,4.8,Business,Medium,High,France
30,3.08,55.3,6.4,STEM,High,High,Germany
31,2.96,30.3,7.3,STEM,Medium,Medium,Other
32,3.94,80.1,7.4,Arts,Medium,High,UK
33,3.19,69.6,7.0,Business,Low,High,Australia
34,2.78,65.8,6.0,Technical,Medium,Medium,Singapore
35,3.53,69.3,4.5,STEM,Medium,Medium,Other
36,2.71,102.9,6.0,Business,Medium,High,Poland
37,3.28,98.7,6.2,STEM,Low,Low,Other
38,2.42,41.3,6.2,Business,High,Medium,France
39,2.67,87.5,7.1,STEM,Medium,High,Germany
40,3.28,62.7,8.5,STEM,Low,Medium,Canada
41,3.5,65.0,6.6,Technical,Low,Medium,Australia
42,3.27,21.2,6.3,Business,High,High,France
43,3.15,51.6,6.2,Technical,High,Medium,South Korea
44,3.08,38.7,6.6,STEM,Medium,Medium,Other
45,2.61,71.6,5.7,STEM,High,Medium,Germany
46,2.91,76.4,6.6,Business,Medium,Medium,Other
47,3.02,13.5,7.0,Arts,High,Medium,France
48,3.62,54.6,6.7,Business,High,High,Canada
49,3.34,77.4,7.0,Technical,Medium,Medium,Japan
50,2.49,51.3,6.9,STEM,Low,Medium,Canada
51,3.33,69.6,4.7,Arts,Medium,Medium,Other
52,3.05,62.0,7.1,STEM,Medium,Medium,Australia
53,2.93,61.8,5.8,STEM,Low,Medium,Other
54,3.44,49.6,5.4,Business,Medium,Low,Other
55,3.61,30.7,5.4,Business,Medium,High,Germany
56,3.57,32.6,6.9,STEM,Medium,High,Germany
57,2.86,69.2,6.3,STEM,High,High,France
58,3.08,55.4,4.8,Business,Medium,High,Germany
59,3.33,52.2,7.0,Business,Medium,Medium,Australia
60,3.59,46.5,5.1,STEM,Medium,High,Poland
61,3.01,48.9,6.6,STEM,High,High,Australia
62,3.13,75.9,6.7,STEM,Medium,High,Poland
63,2.76,48.3,7.4,Technical,Medium,Medium,Canada
64,2.72,28.2,8.3,Technical,High,Low,South Korea
65,3.53,69.9,5.1,Business,High,Medium,Germany
66,3.74,50.9,6.4,Technical,Low,High,Singapore
67,3.17,55.6,6.2,Business,Medium,Medium,Other
68,3.6,87.2,6.9,STEM,High,High,UK
69,3.34,54.6,6.7,STEM,Medium,High,Australia
70,2.94,60.8,6.1,Technical,High,Low,South Korea
71,3.34,31.4,6.1,Business,Low,Medium,Other
72,3.82,50.6,5.4,Arts,Low,High,Poland
73,3.19,67.2,7.5,Arts,Medium,Medium,Australia
74,3.83,23.9,7.0,Business,Low,High,France
75,2.15,59.0,7.4,STEM,High,High,Australia
76,3.53,57.0,6.2,STEM,Low,Medium,Other
77,3.23,55.8,5.8,STEM,High,High,France
78,3.08,75.7,5.4,STEM,Medium,Low,Other
79,3.24,61.7,6.9,Business,Low,Medium,Australia
80,2.4,84.6,5.5,STEM,Medium,Low,Other
81,3.11,35.1,8.3,STEM,Low,Medium,Other
82,3.34,57.7,5.2,Business,High,Medium,Poland
83,3.79,56.7,6.8,STEM,Medium,Medium,Canada
84,2.99,33.6,8.1,Business,High,High,Poland
85,2.88,74.1,7.1,Business,Medium,Medium,Other
86,3.0,101.5,6.7,Business,High,High,France
87,3.57,54.7,5.5,Technical,High,High,Singapore
88,3.33,65.1,5.1,STEM,Medium,Medium,Other
89,2.99,56.7,7.3,STEM,Low,Medium,Canada
